,phrase before,chandler's phrase
5884, you smoked!," no! i just happened t�do a lot trivias about smoking in different states. for example, in hawaii cigarettes are called leyhallalookoos."
5885," (smells at him) chandler, you stink of cigarettes."," uch, do you think, monica is gonna be able smell it?"
5886, are you kidding? the woman has the nose of a bloodhound � and the breasts of a greek goddess.  (embarrassed) i�m gonna go. (leaves to stairs)," (getting in) okay, something to cover the smell � oven cleaner! (sprays himself, reads label) unscented!"
5887, (naughty in doorway) welcome home. i�ve missed you. join me in the bedroom?," no thanks, i�m good."
5888," (comes over) o-kay, so you wanna play it that way, do you?"," (shrinks back) right. you know what? actually i just get off the plane, so i�m feeling kinda gross. maybe i should just take a shower."
5889, you don�t need a shower.," (still backs away) alright, the truth is, i soiled myself during some turbulences."
5890, what do i smell? (sniffs him) i smell smoke. huh�did you smoke?," yes, but i just had one. two. two tiny cigarettes. okay, five. a pack. two pack�a�a carton. three big fat cartons in two days. (how many cigarettes are there in one pack and how many packs in one carton in the us?) but it�s over, i made a decision, i�m not gonna smoke anymore."
5891, (gets a pack out of his jacket)," but, those are for you."
5892," how can you smoke in this day of age? do you not seen that ad with a little kid walks to grandpa, it�s chilling."," i messed up, it was a meeting, everybody was smoking."
5893, so what? don�t you have any will power?, will power? i�ve watch home movies of you eating ding-dongs (?) without taking the tin foil off.
5894, you said that was sexy!," �kay, look: can we just drop this? i�m not gonna smoke again."
5895," that�s right, because i forbid you to smoke again.", you forbid me?
5896, mhmm.," you know, i flew a long way t see my loving wife? is she here by the way?"
5897," don�t joke (?) with me, okay? i�m very, very upset right now."," oh, would you say this was the most upset you could be?  then, i might as well � (grabs the cigarettes) do this (lights one, exhales). not really sure what to do now."
5898," well, i�ll tell you what we�re gonna do: we are already late for phoebe�s birthday dinner, so you point out put out that cigarette, we�re gonna put this fight on hold and go have sex.", fine. what!?
5899," sex! this is the last day i�m ovulating, and when we don�t do it now, we�ll have to wait till next month. (walks towards bedroom)"," you serious? (follows)  right, fine, i�ll do it, but no talking."
5900," huh, and no cuddling.", and no kissing your neck.
5901," oh good, i hate it when you do that", and lots of kissing your neck.
5902, spend more time with the tie. that�ll make a baby.," look, i can�t do this. i can�t make luv to you while we�re fighting this way."
5903," oh sure, now you�re mister sensitivity. but when you wanted to have sex right after my uncle�s funeral"," that was a celebration of life. alright, look, i�m not gonna do this. alright, is this really the way you want a baby to be conceived?"
5904," no, you�re right. mnya, we shouldn�t do it like this. huch. for what it�s worth, i�m, i�m sorry. i shouldn�t have come down on you so hard about the smoking. so you had a few cigarettes, not the end of the world.", mean it?
5905, yah.," you are incredible. unless, i�i�m not gonna smoke again. and if i do, i promise, i will hide it so much better from you. (they kiss)"
5906, d�you want to?," yeah, let�s celebrate life!"
5907, somehow over time it got easier to be apart from you., uhh. you are welcome.
5908, you know what? let�s not talk.  uch. i am still so mad at you for smoking., but you said you forgave me. it was just a couple of cigarettes�no big deal.
5909," oh, blablablabaybaybay.", leave it.
5910, i was just saying that because i was ovulating and you said you wouldn�t have sex with me while we�re fighting., you tricked me to get me into bed?
5911," that�s right, i got mine.", i feel so used.
5912," well, we had a little fight.", i would never lie to get someone into bed.
5913," you used to tell girls you were a kennedy. (being sat down) ooh, uh, thanks. wow, little tight, isn�t it? how d�you get a bigger table? you-you had a big table, but they made you move. huh-huh, shut up monica. whoo, i suppose that chandler will have the smoked duck.", i suppose that monica will have the � manipulative shrew.
5914, y�guys ever heard the story about when rosses mom went to the beauty salon?, you mean the lully story?
5915," uch, you see, i�m ovulating."," oh yeah, that�s what she says. but maybe you�re not ovulating at all, maybe it�s just a clever ruse to get me into bed."
5916," yes smokie, that is what it was. i just can�t get enough.", (to joey) you not gonna believe this: she lied! she tricked me into having sex with her.
5917," so? did have sex, right?", what�s the matter with me? why i�m such a girl?
5918," so, i�m, i�m probably still ovulating. do you want to give it another try?"," so you never had sex with a kennedy, have you?"
5919, that�s the best birthday ever.," (picking up the telephone, answering it with a frog in his throat) hello? (he clears his throat, but he still has the same frog in his throat when he speaks again) hello?"
5920," (in her apartment, screaming) i love my new job!"," honey, you're screaming."
5921, you bet your ass i am! i just had the best first day ever! the kitchen: twice as big as allessandro's.," (yawning) oh, that's great."
5922," yeah, a-a-and clean. not just health department clean... monica clean.", (clearly not so interested) awesome.
5923," okay, i knew i should have had this conversation with joey."," (angry) funniest guy she's ever met! (to the door) i'm funny, right...? what do you know, you're a door... you just like knock-knock jokes... (laughs about himself, but then gets determined again) save it for inside! (he enters)"
5924, heeeeeey!, hey!
5925, (doesn't believe what she's hearing) was your cabin pressurised?," (laughs, but then moves to phoebe) and don't get me started on the way that people from tulsa talk."
5926, okay. (and she walks away)," what's with the word y'all? you know, just... two words just... pushed together... are we all allowed to do that, because if so, i say why stop there? you know, your new poodle could be your noodle. and fried chicken? could be fricken.waiter, waiter excuse me, i'll have the fricken? (monica laughs) see, that's... that's funny with the fricken, right?"
5927," no, it just remind me of something this guy did today at work. i told you about that funny guy, geoffrey, right?"," yeah, he came up..."
5928," well, he did this bit... you probably had to be there, but it was liza minelli locked in our freezer, eating a raw chicken. (phoebe bursts out in a laugh)", (to phoebe) were you there?
5929, you gotta be at least bi...," hey! (joey doesn't look up, but gestures 'wait a minute' with his finger while he finishes reading the article. chandler waits for joey to finish.) i need you to set me up for a joke. later, when monica is around, i need you to ask me about fire trucks."
5930, ooh. i-i don't know chan. i'm not so good with remembering lines.," (can't believe what he hears) well, thank god your livelihood doesn't depend on it."
5931," i know, right? (chandler has really big eyes, and nods) wh... wh... why are we doing this?", monica says that her maitre d. is the funniest guy she's ever met.
5932, seriously? she actually said that?, yes! am i crazy to be this upset?
5933, nooooo! being funny is your thing!, yeah!
5934," without that, you just got ""lame with women""."," ye.... (stops because he realises what joey just said, and stares at him. at this moment monica enters)"
5935," monica, you have to do some damage control here, okay. 'cause he's feeling like... (the door opens and chandler walks in with a pizza)  heeeyy! hey!", what are you guys talking about?
5936," uhm... rachel and i hired a male nanny. (joey makes a gesture and sound like ""can you believe that?"")"," you got a man who's a nanny...? you got a manny...? (monica starts laughing, but very exaggerated. joey realises they also should laugh and punches ross. now all three of them laugh, but very fake. chandler seems happy again.)  you know, i don't mind a... male nanny, but i do draw the line at a male wetnurse. (again they laugh, even more fake than before)"
5937," ohhh, ooohhh... you are on a roll, mister!"," if i'd known you guys were coming over, i would have brought more pizza. (they all burst out in a thundering laugh)"
5938," okay, okay... chandler you... you stop it! (monica wipes away tears)", what is so funny about that? (they realise it wasn't a joke)
5939," well, i don't know... i-it's... just the way you say it... i mean, you're funny... you have that funny thing. you're a funny guy! (chandler turns to joey)"," did you tell her what we talked about? (joey starts laughing hysterically, but then gets serious again...)"
5940, yeah...., so those were pity laughs? pity laughs? (joey and ross walk away from the kitchen)
5941," honey, listen... you have nothing to worry about with geoffrey.", oh yeah? is he funnier than me?
5942," well, you're... you're different funny... i mean, you're... you're more sarcastic a-a-and... well, he does... bits... and impressions... and... and limericks..."," i do limericks... uhm... there once was a man named chandler, whose wife made him die inside."
5943, (kind of emotional) i am learning so much from you.," well, i'm off to tulsa, so if your maitre d. friend has any funny oklahoma jokes, tell him to e-mail me at www.hahanotsomuch.com."
5944," honey, you can relax. last night at work, geoffrey told this really sexist joke. after that, not so funny anymore."," really...? see... that's the thing: you gotta keep it smart, people!"
5945," okay, don't miss that flight. you know i love you.", i love you too. (monica and chandler kiss. he turns to joey.) and... i like you as a friend. (they hug and pat each other on the back.)
5946, allright. see you later!, see ya! (he leaves the apartment)
5947," and that's why, no matter what mommy says, we really were on a break. (baby talk) yes we were! yes we were! (picks emma up) come here gorgeous. (puts her on his knees and talks to her) oh! look at you! you are the cutest little baby ever! you're just a... a little bitty baby, you know that? but you've got... (in a softer voice) you've got big beautiful eyes... yes you do... and a... and a big round belly. (emphasises the b's) big baby butt! i like big butts. (raps) i like big butts and i cannot lie / you other brothers can't deny / when a girl walks in with an itty, bitty, waist / and a round thing in your face you get...(emma laughs) oh my god, emma... you're laughing! oh my god, you've never done that before, have you? you never done that before... daddy made you laugh, huh? well, daddy and sir mix alot... what? what? you... you wanna hear some more? uhm...(raps) my anaconda don't want none / unless you got buns hon... (emma laughs again and ross looks worried) i'm a terrible father!", hi!
5948, hey... hey listen... what do you guys know about investments?, how come?
5949," well, i just tape it to the back of my toilet tank. (realises that anyone could have overheard that) i didn't say that! it's in a bank guarded by robots!", do you have any ideas?
5950," (very excited) oh, and you know who's selling a great apartment? richard!"," (imitating monica) oh, and you know whose knowledge of her ex-boyfriend is shocking? monica!"
5951, my dad told me. they play golf together.," oh, well... maybe i'll join them some time. i just hope the club doesn't slip out of my hand and beat the moustache off his face."
5952, hi i'm joey. this is chandler., so how come richard's selling the place? went bankrupt? medical malpractice? choked on his own moustache?
5953," actually, he is buying a much bigger place. it's got a great view of central pa.....", mmm that's enough about you!
5954," all the appliances are included. there is a lot of light, a new kitchen... i think you guys would be very happy here... (joey and chandler both realise what she's assuming and start laughing.)"," no, no, no, no, no, no! no, no... we're not together. we're not a couple. we're definately not a couple."
5955," well, you seem pretty insulted by that. what? i'm not good enough for you?"," we're not gonna have this conversation again... look at this place. why am i so intimidated by this guy? pretentious art, this huge macho couch. when we know all he does is sit around all day crying about losing monica to a real man! (laughs) you don't think he's here, do you? (joey looks around)"
5956," you know what it is? it's a nice place but i gotta see i don't know if i see myself living here. oh, oh, oh, let me see... (joey sits down on the couch, mimes opening a can and puts his hand down his pants) yeah, i could see it."," (chandler looks around the place and his eye gets caught by richard's video collection) look at these videos. you know, i mean, who does he think he is? magnum force, dirty harry, cool hand luke... oh my god!  there's a tape here with monica's name on it."
5957, ooh! a tape with a girls name on it. it's probably a sex tape... (realises) wait a minute... this says monica... (looks around) and this is richard's apartment... (realises some more), get there faster! (joey gasps and finally understands...)
5958, awesome!," i'm not gonna watch it... i don't need to watch it... i mean, what good could possibly come from watching? (sighs) well, we know i'm gonna watch it. (chandler moves to put the tape in the vcr and joey enters the apartment)"
5959," hey dude, what's up?"," don't judge me, i'm only human!"
5960, did you take that tape?," i had to! okay, imagine you were married... and you found a tape of your wife in another guys' apartment... wouldn't you need to know what was on it?"
5961, i don't know. who'm i'm married to?, some girl...!?
5962, she hot?, yeah...!?
5963, how did she get me to settle down?," allright, i'm gonna watch it... i mean look, it's probably not even what i think it is... and even if it is... it can't possibly be as bad as what i'm picturing in my head... (laughs nervously) can it?"
5964," guess i don't know. my experience: if a girl says yes to being taped... she doesn't say no to much else, i tell ya...", then you're gonna have to watch it for me.
5965, (backs off) what? whoo... what?," just for a few seconds, so i can know what it is... please?"
5966," all right, fine... but if i enjoy this, you have only yourself to blame... (chandler turns his back to the tv. joey puts the tape in the vcr, switches it on and watches what's on the tape... it's clearly a american football match, with the referee's whistle blowing, the crowds cheering...)", why am i hearing cheering?
5967," well it's okay, its like... its just a football game.", football? just football?
5968," yeah, see... you were all worried for nothing."," it's football... it's just football... this is great! this is the first time i've ever enjoyed football... it may be customary to get a beer... (chandler walks to the fridge, his back turned to the tv and a moaning sound replaces the cheering of the crowd... joey's eyes double in size...) what the... (chandler turns around, but joey already took a sprint for chandler, jumps, and floors chandler in the open space in front of the apartment door...) what are you doing?"
5969, so you stole that tape from richard's apartment?, whoho ho... listen to the judgement from the porn star!
5970, why in the world would you take this tape and and why would you watch it?," because that's who i am, okay? i'm sure a mature man like richard could see a tape like that and it wouldn't bother him. just'd be another saucy anecdote for him to share at his men's club over brandy and moustaches."
5971, is all this about you not being able to grow a moustache?, this is about you and richard. he's clearly not over you. he keeps a tape so he can... look at it whenever he wants.
5972," isn't that sad? i mean, can you see how pathetic that is? you shouldn't be jealous. you should feel bad for him."," oh, yeah, well, poor richard. y'... i can grow a moustache!"
5973," chandler, this is not our problem. we've got each other. that's all that matters."," yeah, oh, but i just keep picturing you rolling around with him with your cowboy boots in the air..."
5974, cowboy boots? i've never worn cowboy boots in my whole life! (she turns on the video again)," oh, good, good. play more, 'cause i wanna see how it ends."
5975, that's not me!, what...? that's not you! life is good again! ride 'em cowgirl!
5976, that bastard taped over me! (chandler's expression changes), is that a problem?
5977," hey hon, could you help me get the plates down?"," yeah. hey, here's an idea, why don't we use our wedding china today?"
5978," no, i think we should save our china for something really special. like if the queen of england comes over."," honey, she keeps canceling on us, take the hint."
5979," what if something gets broken, they're so expensive.", what is the point of having them if we never use them?
5980," ok, but if something gets broken, and then the queen comes over..", i will explain it to her.
5981," next up is a marching band from muskogee, ok.", muskogee! that's like four hours from tulsa. woo hoo!
5982, yeah! i totally forgot i'm supposed to be there. i can't believe i forgot. i usually write stuff like this on my arm. oh! stupid long sleeves., what are you going to do?
5983,"i guess i'm going to have to come up with a really good reason why i wasn't there. the producers are going to be so mad at me. they sat us all down yesterday and said ""everyone has to be there at 6:00 am sharp, that means you tribbiani."" like.. like i was some kind of idiot.", well you proved them wrong.
5984, careful. <hands chandler a china plate> careful. careful!," i'll tell you what, for the rest of our lives, i'll be careful until told otherwise. <looks at china> hey wait a minute this isn't the china we picked out.."
5985," i know, after you left the store, i chose different ones.  well no offense honey, but your taste is a little feminine for me."," oh suddenly, flowers are feminine?"
5986," well we haven't offically asked them yet, but we would want monica and chandler.", i can't believe you'd want us to raise emma.
5987, connected? i mean.. to what? she's.. she's  a lump.," you know, guys i got to say. this means so much to me. that you would trust me with your child. i mean, we all know that monica and i have been trying to have a baby of our own. you know i've had my doubts about my skills as a father, but that you two.. that you two.... <starts to cry>"
5988," okay, how about this, you guys die and the crazy plate lady dies, then do i get the baby?"," no, if crazy plate lad.. <sees monica frustrated at this comment> if monica dies then i would get emma, right?"
5989, well actually..., actually what?
5990, uh.. who has to die for me to get her?," so if monica's not around, then i'm not good enough to raise emma?"
5991, yeah he's lying. he looked down., well what is wrong with me? am i .. am i incomptent? because i managed to survive whatever it is that killed the three of you!
5992, no you're all about the fun.," look, i may not know a lot about babies, but do you really think i'm not capable?"
5993," no, you both are equally capable. its just.. you're strongest when.. when you're together.", ok. so if we both had emma and i die <knocks on table>  she'd have to give her up.
5994," i lie better then that, right?"," so.. let me get this straight. so my two friends die, i get emma. then my wife dies, then emma the one tiny ray of hope left in my life gets taken away from me?"
5995, hey. there you are. you disappeared after dinner., oh? did somebody miss me? is there a child to raise poorly?
5996, ross and rachel don't know what they're talking about. i mean its not like their so responsible. emma is a product of a bottle of merlot and a five year old condom.," yeah but they're right. i mean, i'm not a strong father figure and i never will be."
5997, no you learn these things. you grow into it.," yeah, but its not who i am. everything they said was exaclty why i was worried about having a kid. and its true. and look everybody knows it."
5998, i don't know it! i want to have a kid with you because i think you're going to be an amazing dad... at the fun parts and the hard parts.," oh yeah, well can you picture me saying ""go to your room! you're grounded""?"
5999," can you hear me say ""you're grounded""?", you said that to me last week.
6000," hey dude, you okay? sorry about before."," oh no thats okay, you're totally right. i don't know anything about disciplining a child. but it did hurt my feelings and i want you to know that when i die, you don't get joey."
6001, ew! gross.," alright! that is it. this is our apartment and you can not behave this way. now if you can't act your age then you shouldn't be here at all. now those plates may not be as nice as the pretty pink ones i picked out, but they're very important to monica. i want you to apologize to her right now."
6002," mon, i'm so sorry.", okay. thats better. now i want you to both apologize to each other and mean it.
6003, sorry.," by the way, that fight was totally arousing."
6004," dude. well done. you know what? if i die, and rachel dies and monica dies then you can totally take care of emma.", oh yeah? well thanks.
6005," so, so now do i get joey?"," okay, but you should know he eats five times a day and shoves pennies up his nose."
6006, she needs changing.," oh no no no.. i'll get her. i'm super-compentent and totally responsibile and fourth in line to raise emma. i'll be right there emma. just let me get my trusty diaper bag here. <knocks over the box of china> well.. what do you know? i guess, i'll be the one who dies first."
6007," hey, does monica know about her broken plates yet?", nope...
6008," broke them all, huh?", yep...
6009, you gonna tell her?," nope... (monica walks in) hey... so i'm gonna... put the plates back. you know, i think you were right, i don't think we should use these plates again for a looong time."
6010, like only if the queen comes?, maybe not even then. (joey walks in)
6011," this kitty is mittens and this one is fitzhugh, and this little guy in the cat condo is jinkies.", yep.� that's a lot of cats jo lynn.� single are ya?  chandler bing.
6012, hey.� how come you're answering your own phone?� where's your crazy assistant?, what's up joe?
6013," okay, what have we always wanted to do together?", braid each other's hair and ride horseback on the beach?
6014," no, no, no.� when you get home tomorrow night, you and i are going to be at the wizzards-knicks game . . .� courtside!", courtside?� oh my god.
6015, yeah.� maybe michael jordon will dive for the ball and break my jaw with his knee., that's so cool.� i'll let monica know.
6016, hello?, joey just called.� he's got courtside knicks tickets for him and me tomorrow night.
6017," really?� but tomorrow night is the only night i get off from the restaurant.� if you go to the game, we won't have a night together for another week."," but hey, it's courtside.� the cheerleaders are going to be right in fr. . . (pause)� that's not the way to convince you."
6018," chandler look, i don't want to be one of those wives who says, ""you can't go to the game.� you have to spend time with me.""� so, if you could just realize it on your own . . ."," i know.� you're right.� i want to see you too.� i've just got to figure out a way to tell joey, you know?� he's really looking forward to this."
6019, tell him that you haven't seen your wife in a long time.� tell him that having a long-distance relationship is really difficult.� tell him that what little time we have is precious.," yeah, ah, ah . . .� i'll think of something."
6020, welcome home.," (hangs his jacket over the suitcase, locks the door, then turns to monica.)� oh well, look at you."
6021, yeah.� what do you think?," well, it looks great.� it's just that . . . well, i'm wearing the same thing underneath.� so . . .  see what i mean . . . (they kiss.)"
6022, just a second.," (hushed) no, no, no, no, no.� joey can't know that i'm here."
6023, why not?," because i didn't know how to tell him that i couldn't go to the knicks game.� so, i just told him that i had to stay in tulsa."
6024," so, you lied to him?", achhh.� it's always better to lie than to have the complicated discussion.� (pause)� except with you.
6025," because. . .� one of them is for you.  cheers.� (she clinks his glass and pulls back.)� okay, buh-bye.� (she closes the door.)"," you know, it's funny.� i've been, ah, practicing the art of seduction myself.� (he raises his hands in front of himself, sticks out his behind, and wiggles it.)� hi ya."
6026, you might want to keep practicing.," yah.  it's joey.� (he answers it, holding it out so that monica can hear too.)� hey joe."
6027," dude, come home!", what? why?
6028, come . . .� home.," look i, i can't.� what's going on?"
6029," i don't know how to tell you this but, uh . . . i think monica's cheatin' on ya.� i told you shouldn't have married someone so much hotter than you.  all right look.� (he walks to the hallway.)� if you can't come home and deal with this, then i'm gonna.", no!
6030, (outside the apartment door) i just heard him!, (softly) can you . . . hear him . . . now?
6031," (listens at the door.)� no.� (pause) all right, i'm going in.", no! wait!
6032, i heard him again!," (writhes as if in agony) all right, look.� just stay there.� i'm coming home."
6033, okay.� great.� i'll see you when you get here.� i'm gonna wait out in the hall in case the dude comes out., is that really necessary?
6034," chandler, you have to tell joey that you're not in tulsa."," don't you think it's better for him to think that you're cheating on me, than for him to think that i'm cheating on him?� (monica tips her head slightly as if asking ""did you hear yourself?"")� i heard it."
6035, i don't want him to think that i'm having an affair., all right.� i've got a plan.� i'll go down the fire escape.
6036," yes, because all good plans start with, ""i'll go down the fire escape."""," hear me out woman.� i'll go down the fire escape.� then, i'll wait for a while.� then, when i come up the stairs, it'll be just like i just got back from tulsa.� then, joey and i will come in and see that there's no guy in here."
6037, aren't you afraid that joey's going to figure all of this out?� (pause)� i heard it., i'm just going to wait for a little while.
6038, scary pigeon's back?, it's huge.
6039," wow!� that didn't take long.� i thought you said tulsa was, like a three hour flight."," (pause) well, you're forgetting about the time difference."
6040, (gasp) chandler!� you're home!," that's right.� you're husband's home.� so, now the sex can stop."
6041, what are you saying?, joey said that you're in here with another man.
6042," all right.� all right.� then, maybe you won't mind if me and my friend take a look around, huh?� (he checks the bathroom shaking the bat.� then he proceeds to their bedroom.)� bwa-ah-ah!", (to monica) what is he doing?
6043," (emerging) bedroom is clear, although you might need some new pillows."," all right.� well, i'll check the guest room."
6044, (sniffs his shirt.)� oh yeah.� i rubbed a magazine on myself earlier., there's nobody here joe.
6045," (spots the suitcase just inside the door where chandler left it) whoa, whoa.� wait a minute.� wait a minute.� if you just got back from tulsa, how did your suitcase beat you here?"," (thinks, then turns to monica) i climb down the fire escape and you can't put that in the closet?"
6046, what's going on?," i'm sorry.� i, i told you i was in tulsa because i wanted to spend the night with monica and i, i didn't know . . .� i didn't think you'd understand."
6047, i don't know what to say.� we shouldn't have lied to you., yeah.� i feel so bad.� is there anything i can do to make it up to you?
6048," (pause) yeah, you could go to the game with me, ah, even though i know you said you couldn't.� but then you lied to me and tricked me and gave me a bump on the head.", i'm sorry. �that's the one thing i can't do.� i promised i'd be with monica.
6049, (taps chandler on the arm) you can go.  you should go to the game.� it's okay.� i want you to., really?� you're gonna be okay?
6050," yeah, i'll be fine.� you know, maybe i'll stay here and practice the art of seduction."," you're gonna put on sweats and clean, aren't you?"
6051, it's gonna be so hot!� (she kisses him.)," okay, bye."
6052, thanks.� (joey and chandler exit to the hall.� joey pulls out the tickets and hands one to chandler.)� here's your ticket.," hey, listen.� i'm never going to lie to you again, okay?� and i want you to know that nobody thinks you're stupid."
6053, thanks man.  where are you going?, game's tomorrow night joe.
6054, (smiling) uh-huh.," (coming from the bedroom) say goodbye elves, i'm off to tulsa."
6055, you're really not coming back?," yeah, we have all this paperwork that needs to be filed by the end of the year. if i don't get it done, i'll be fired."
6056," it's so unfair, you don't even like your job!"," so, who does?"
6057, i can't get *enough* dinosaurs!," i'm sorry, i won't be here."
6058," it's just... it's hard enough not seeing you during the week, but for christmas... alright, if this is what you have to do, i understand.", thanks. (they kiss) i'll see you new year's day.
6059, (shocked) you're not gonna be here new year's eve??," did i not mention that?  (thinks for a second, then waves his arms, exclaiming:) and to all a good night! (and runs out of the apartment)  all right everybody, i know that it's christmas eve and you'd rather be with your families, but there's *no* call (he takes it off) for writing ""screw you, mr. bing!"" on the back of my chair! (he looks at it) -- by the way, you can all call me chandler."
6060," i was, uh, checking out that insurance company's christmas party on three, oh, it was really beautiful, they have all these decorations and this huge tree and i just, uh... to hell with them, we have to work. -- so i stole ther ham. (she turns the cardboard box upside down over the conference table, a big piece of ham falls out.)"," (to the others) you hear that? you may not be with your families, but at least it's gonna smell like ham in here."
6061, my kid's in a play right now.," y'know what, i know what will cheer you guys up! (he starts spreading envelopes among them) i had a little talk with the boys in new york, told 'em about all the hard work you've been doing and that a little christmas bonus may be in order."
6062," (reading off his card) ""a donation has been made in your name to the new york city ballet""."," well, that's like money in your pocket! - alright look, you want me to say it? this sucks. being here sucks! this work sucks!"
6063, *now* it feels like christmas.," i'm sorry. hey, at least you guys get to go home and be with your families tonight. i have to go back to an empty hotel room and lay down on a very questionable bedspread. and then tomorrow morning, you get to have christmas morning in your own houses, wich, by the way, none of you have invited me to."
6064, you can come to my house!," haha, no thanks!"
6065, that was a nice pep-talk.," oh, thanks! i'm... actually thinking about becoming a motivational speaker."
6066," so, if you were home right now, what would you be doing?"," typical christmas-y stuff, you know? our holidays are pretty traditional..."
6067," okay, pheebs, you look in the kitchen, i will look in the back closet."," i can save you time ladies, i'm right here."
6068," yeah, chandler why don't you take a walk? this doesn't concern you."," what? that's terrible!  oh well, that, that makes it not terrible."
6069," don't worry, we're just gonna search here for an hour, and then we're gonna go over to joey's and search, ok?"," no not okay, you can't look for monica's presents!"
6070," oh no, we have to!"," no, you don't have to, and you can't because i, i live here too."
6071," chandler, that's not enough. i mean what if she gets you a great present, two medium presents, and a bunch of little presents? and you've just gotten her one great present? i mean that's just gonna make her feel bad. why would you do that to her chandler? why? why?"," if i help, we can find 'em faster!"
6072," no, but with this new car smell, you'll think you do."," ok, pheebs, your turn."
6073, you got me a cola drink?," and, a lemon lime."
6074," well this, this is too much, i feel like i should get you another sweater.", and last but not least.
6075, cool!  santa! (runs to chandler and hugs him)," well, i'm here to see my old buddy ben. what are you doing here, weird...turtle-man?"
6076," thank you, but, but you, you gotta leave.  because, i'm finally getting him excited about hanukkah, and, and you're-you're wrecking it.", but i didn't get to shake my belly like a bowl full of jelly.
6077," yeah, is that okay?"," then it's okaaay! (they kiss.)  you know what, everybody? go home. you should be with your families. it's bad enough that we're working new year's eve.  did i not tell *anyone* about new year's eve? -- alright, look, go! go home, okay? merry christmas! go.  good, god's speed, good people! (he starts to close the door, turns around and sees wendy) you're not gonna go?"
6078, naah... i couldn't leave you alone., ah. thanks.
6079," besides, i can't leave until their christmas party downstairs clears out; there are some *pissed off* insurance people looking for that ham.", ah. (the phone rings; he answers it) chandler bing.
6080, (simultaneous to the others) ble-blah-blar blargh!," ahh, merry christmas; i miss you guys!"
6081, so is it horrible? is everybody working really hard?," ah, well no, it's just uh, me and wendy."
6082, wendy? -- that sounds like a girl's name., it is. did i... not tell you about her?
6083," umhmm, umhmm, about the time you told me about new year's eve. where is everybody else?", i sent them home.
6084," ohh, you are such a good boss! is she pretty?"," uhh, uh..."
6085," (in a low voice) answer faster, answer faster!", i don't know!
6086," (in the same low voice) answer better, answer better!"," i don't think of her that way, you know, she's a, she's a colleague."
6087, what does she do there?," oh, she's regional vice president; she's... just below me."
6088, she did what?, be-low me!
6089, *what*??," well, she... she didn't win..."
6090," alright, well, maybe i should let you and the second prettiest girl in oklahoma get back to work."," well, second prettiest that year; i mean, of *all* the girls in oklahoma, she's probably..."
6091," (interrupting him) oh chandler, stop talking!"," honey, there's really nothing to worry about.  i'm serious!  merry christmas."
6092, merry christmas.," merry christmas, you guys!"
6093," (simultaneous to the others) blah blargah, blar-blab."," (hanging up the phone) the wife says ""hi!""."
6094, ah. fun conversation?," ah well, she's got this weird idea, that, uh, y'know, just because you and i are alone, that something is gonna happen."
6095," huh? really? -- hm, that'd be so terrible? (she gets hold of chandler's tie, slowly moving her hands upwards on the tie, getting closer and closer to him, seductive.)"," this is probably the wrong thing to be worrying about, but... you're getting ham on my only tie.  whoa-ho, back off, missy! (he takes a step back, but she still keeps her grip on his tie.)"
6096, (laughs) ...missy?, i don't know; i'm not used to girls making passes at me! ... (she lets go of his tie) wait a minute... am i sexy in oklahoma?
6097," you are to me... (she gets closer again, putting her arms around his torso.)"," (flattered) no,... no... (realizing) no! (he quickly gets several steps away from her.) look, i'm, i'm married!"
6098, so? i'm married. (showing him the ring on her finger.), i'm *happily* married.
6099, oh. - what's *that* like?," right. so, i'm sorry..."
6100," seriously? happily married. so that phone call before, that was ... happy?"," well look, it's not easy to spend this much time apart, you know. she's entitled to be a little paranoid... or, in this case: right on money! ... you know, she's amazing, and beautiful, and smart, and if she were here right now, ...she'd kick your ass. look, you're a really nice person... ham stealing and adultery aside. but, what i have with my wife is pretty great, so nothing is ever gonna happen between us."
6101," okay, let me ask you something: if what you and your wife have is so great, then why are you spending christmas with me?"," i mean, you were the most beautiful woman in the room tonight!  you kidding? you're the most beautiful woman in most rooms... (she jumps up and kisses him.) (breaking the kiss.) whoa! whoa! whoa! what's going on? you and i just made out! you and i are making out?  but we don't do that."
6102, drunk enough that i know i wanna do this. not so drunk that you should feel guilty about taking advantage., (thinks) that's the perfect amount!
6103," eh, we weren't that close anyway!", eh! (they start making out again)
6104," well uh, you and i are just goofing around, i thought, why not just goof around with him."," y'know, i don't know if you've ever looked up the term goofing around in the dictionary... well, i have, and the technical definition is, two friends who care a lot about each other and have amazing sex and just wanna spend more time together. but if you have this new fangled dictionary that gets you made at me, then we have to, y'know, get you my original dictionary. i am *so* bad at this.  really? okay, so..."
6105," yeah. (they kiss and as she starts to leave, chandler starts to dance. without turning around:) don't do the dance.  i can't get married until i get something old, something new, something borrowed, and something blue.  no-no-no, wait! we need something old!"," oh, okay, i have condom in my wallet that i've had since i was twelve.  (looks around) here just...take this. (hands her the sweater.)"
6106," listen umm, i've been thinking, it's not fair for me to ask you to spend all of your money on our wedding. i mean, you work, you work really hard for that."," look, i thought about it too, and i'm sorry. i think we should spend all of the money on the wedding.  yeah, i'm putting my foot down. yeah look, when i proposed i told you that i would do anything to make you happy, and if having the perfect wedding makes you happy, then, then that's what we're gonna do."
